username,email,password
23251a0481@gmail.com,Geethika,
admin,admin@gmail.com,admin123
user,user@gmail.com,user
admin10,admin10@gmail.com,admin@10
admin1,admin1@gmail.com,admin@10
user1,user1@gmail.com,user@10
user2,user2@gmail.com,user
user3,user3@gmail.com,user@30
user4,user4@gmail.com,user@40
user5,user5@gmail.com,user50
admin3,admin3@gmail.com,admin
g10,g10@gmail.com,g10
g20,g20@gmail.com,g20
g30,g30@gmail.com,g30
g70,g70@gmail.com,g70
g80,g80,g80
user100,user100@gmail.com,user100
user60,user60@gmail.com,user60
admin60,admin60@gmail.com,user60
gvgeethika510,gvgeethika510@gmail.com,gvgeethika510
user10,user10@gmail.com,user10
user105,user105@gmail.com,user10
